08:57:23.993 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.huishuo.hdata.service.JobManagerServiceTest], using SpringBootContextLoader
08:59:15.424 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
08:59:15.528 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
08:59:15.630 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.10.Final}
08:59:15.633 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
08:59:15.844 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
08:59:16.105 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
08:59:16.373 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
08:59:16.715 [main] INFO  c.h.h.service.JobManagerServiceTest - Started JobManagerServiceTest in 2.906 seconds (JVM running for 4.103)
08:59:16.833 [main] INFO  com.huishuo.hdata.util.FileTool - file is not exists, create new file. file=C:\tmp\JobName_92.xml
08:59:16.889 [Thread-2] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
08:59:16.891 [Thread-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
08:59:16.898 [Thread-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
08:59:21.556 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.huishuo.hdata.service.JobManagerServiceTest], using SpringBootContextLoader
08:59:21.562 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.huishuo.hdata.service.JobManagerServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
08:59:21.563 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.huishuo.hdata.service.JobManagerServiceTest]: JobManagerServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
08:59:21.755 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.huishuo.JobManagerApplication for test class com.huishuo.hdata.service.JobManagerServiceTest
08:59:21.925 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener]
08:59:21.952 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@37ceb1df, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7c9d8e2, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@20d525, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6200f9cb, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2002fc1d, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@69453e37, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6f4a47c7, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@ae13544, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3d34d211, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7dc0f706, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4009e306]
08:59:31.298 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.huishuo.hdata.service.JobManagerServiceTest], using SpringBootContextLoader
08:59:31.305 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.huishuo.hdata.service.JobManagerServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
08:59:31.306 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.huishuo.hdata.service.JobManagerServiceTest]: JobManagerServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
08:59:31.483 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.huishuo.JobManagerApplication for test class com.huishuo.hdata.service.JobManagerServiceTest
08:59:31.665 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener]
08:59:31.695 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@37ceb1df, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7c9d8e2, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@20d525, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6200f9cb, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2002fc1d, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@69453e37, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6f4a47c7, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@ae13544, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3d34d211, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7dc0f706, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4009e306]
08:59:32.165 [main] INFO  c.h.h.service.JobManagerServiceTest - Starting JobManagerServiceTest on lixiaobai with PID 11644 (started by haoyue in C:\Users\haoyu\Documents\Project\hdata\jobmanager)
08:59:32.166 [main] INFO  c.h.h.service.JobManagerServiceTest - No active profile set, falling back to default profiles: default
08:59:32.790 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
08:59:32.833 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 32ms. Found 0 repository interfaces.
08:59:33.672 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
08:59:33.865 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
08:59:34.008 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
08:59:34.118 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.10.Final}
08:59:34.122 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
08:59:34.372 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
08:59:34.696 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
08:59:34.987 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
08:59:35.412 [main] INFO  c.h.h.service.JobManagerServiceTest - Started JobManagerServiceTest in 3.652 seconds (JVM running for 4.843)
08:59:35.559 [main] INFO  com.huishuo.hdata.util.FileTool - file is not exists, create new file. file=C:\tmp\JobName_88.xml
08:59:35.661 [Thread-2] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
08:59:35.664 [Thread-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
08:59:35.671 [Thread-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
