11:36:17.979 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
11:36:18.107 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
11:36:18.229 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.10.Final}
11:36:18.233 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
11:36:18.492 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
11:36:18.853 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
11:36:19.160 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
11:36:19.711 [main] INFO  c.h.h.service.JobManagerServiceTest - Started JobManagerServiceTest in 3.512 seconds (JVM running for 4.627)
11:36:19.996 [Thread-2] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
11:36:19.999 [Thread-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
11:36:20.008 [Thread-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
11:36:45.428 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.huishuo.hdata.service.JobManagerServiceTest], using SpringBootContextLoader
11:36:45.436 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.huishuo.hdata.service.JobManagerServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
11:36:45.437 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.huishuo.hdata.service.JobManagerServiceTest]: JobManagerServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
11:36:45.621 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.huishuo.JobManagerApplication for test class com.huishuo.hdata.service.JobManagerServiceTest
11:36:45.802 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener]
11:36:45.822 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7bedc48a, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@131ef10, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@55b0dcab, org.springframework.test.context.support.DirtiesContextTestExecutionListener@38afe297, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2df3b89c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@23348b5d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@70325e14, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@37ceb1df, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7c9d8e2, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@20d525, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6200f9cb]
11:36:46.165 [main] INFO  c.h.h.service.JobManagerServiceTest - Starting JobManagerServiceTest on lixiaobai with PID 6796 (started by haoyue in C:\Users\haoyu\Documents\Project\hdata\jobmanager)
11:36:46.166 [main] INFO  c.h.h.service.JobManagerServiceTest - No active profile set, falling back to default profiles: default
11:36:46.593 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
11:36:46.627 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 24ms. Found 0 repository interfaces.
11:36:47.126 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
11:36:47.299 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
11:36:47.397 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
11:36:47.478 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.10.Final}
11:36:47.480 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
11:36:47.656 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
11:36:47.893 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
11:36:48.108 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
11:36:48.447 [main] INFO  c.h.h.service.JobManagerServiceTest - Started JobManagerServiceTest in 2.577 seconds (JVM running for 3.734)
11:36:48.640 [Thread-2] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
11:36:48.643 [Thread-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
11:36:48.649 [Thread-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
11:38:47.433 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.huishuo.hdata.service.JobManagerServiceTest], using SpringBootContextLoader
11:38:47.440 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.huishuo.hdata.service.JobManagerServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
11:38:47.441 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.huishuo.hdata.service.JobManagerServiceTest]: JobManagerServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
11:38:47.604 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.huishuo.JobManagerApplication for test class com.huishuo.hdata.service.JobManagerServiceTest
